nation,player_name,window,source_name,source_url,source_date
England,Ollie Chessum,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Arthur Clark,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Alex Coles,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Luke Cowan-Dickie,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Tom Curry,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Theo Dan,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Ben Earl,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Charlie Ewels,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Greg Fisilau,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Ellis Genge,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Jamie George,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Joe Heyes,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Ted Hill,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,George Kloska,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,George Martin,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Beno Obano,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Asher Opoku-Fordjour,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Guy Pepper,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
England,Henry Pollock,the 2026 Nations Championship (July window),England squad for the 2026 Nations Championship,https://www.englandrugby.com/follow/news-and-media/england-squad-named-nations-championship-2026,2026-06-19
