OVERALL RANK,POSITION RANK,PLAYER,SEASON SUMMARY,GMS,PPG,TOT. PTS.,POS,TEAM,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,MINS,PPM,TRIES,ASSISTS,METRES,CLEAN BREAKS,DEFENDERS BEATEN,OFFLOADS,TURNOVERS,TURNOVERS CONCEDED,PENALTIES CONCEDED,TACKLES,TACKLES MISSED,LINEOUT STEALS,PENALTIES,CONVERSIONS,DROP GOALS,YELLOW CARDS,RED CARDS,50-22s,MINS RANK,PPM RANK,TRIES RANK,ASSISTS RANK,METRES RANK,CLEAN BREAKS RANK,DEFENDERS BEATEN RANK,OFFLOADS RANK,TURNOVERS RANK,TURNOVERS CONCEDED RANK,PENALTIES CONCEDED RANK,TACKLES RANK,TACKLES MISSED RANK,LINEOUT STEALS RANK,PENALTIES RANK,CONVERSIONS RANK,DROP GOALS RANK,YELLOW CARDS RANK,RED CARDS RANK,50-22s RANK,MINS RANK POS,PPM RANK POS,TRIES RANK POS,ASSISTS RANK POS,METRES RANK POS,CLEAN BREAKS RANK POS,DEFENDERS BEATEN RANK POS,OFFLOADS RANK POS,TURNOVERS RANK POS,TURNOVERS CONCEDED RANK POS,PENALTIES CONCEDED RANK POS,TACKLES RANK POS,TACKLES MISSED RANK POS,LINEOUT STEALS RANK POS,PENALTIES RANK POS,CONVERSIONS RANK POS,DROP GOALS RANK POS,YELLOW CARDS RANK POS,RED CARDS RANK POS,50-22s RANK POS,MINS PER GAME,PPM PER GAME,TRIES PER GAME,ASSISTS PER GAME,METRES PER GAME,CLEAN BREAKS PER GAME,DEFENDERS BEATEN PER GAME,OFFLOADS PER GAME,TURNOVERS PER GAME,TURNOVERS CONCEDED PER GAME,PENALTIES CONCEDED PER GAME,TACKLES PER GAME,TACKLES MISSED PER GAME,LINEOUT STEALS PER GAME,PENALTIES PER GAME,CONVERSIONS PER GAME,DROP GOALS PER GAME,YELLOW CARDS PER GAME,RED CARDS PER GAME,50-22s PER GAME,MINS RANK PER GAME,PPM RANK PER GAME,TRIES RANK PER GAME,ASSISTS RANK PER GAME,METRES RANK PER GAME,CLEAN BREAKS RANK PER GAME,DEFENDERS BEATEN RANK PER GAME,OFFLOADS RANK PER GAME,TURNOVERS RANK PER GAME,TURNOVERS CONCEDED RANK PER GAME,PENALTIES CONCEDED RANK PER GAME,TACKLES RANK PER GAME,TACKLES MISSED RANK PER GAME,LINEOUT STEALS RANK PER GAME,PENALTIES RANK PER GAME,CONVERSIONS RANK PER GAME,DROP GOALS RANK PER GAME,YELLOW CARDS RANK PER GAME,RED CARDS RANK PER GAME,50-22s RANK PER GAME,MINS RANK PER GAME POS,PPM RANK PER GAME POS,TRIES RANK PER GAME POS,ASSISTS RANK PER GAME POS,METRES RANK PER GAME POS,CLEAN BREAKS RANK PER GAME POS,DEFENDERS BEATEN RANK PER GAME POS,OFFLOADS RANK PER GAME POS,TURNOVERS RANK PER GAME POS,TURNOVERS CONCEDED RANK PER GAME POS,PENALTIES CONCEDED RANK PER GAME POS,TACKLES RANK PER GAME POS,TACKLES MISSED RANK PER GAME POS,LINEOUT STEALS RANK PER GAME POS,PENALTIES RANK PER GAME POS,CONVERSIONS RANK PER GAME POS,DROP GOALS RANK PER GAME POS,YELLOW CARDS RANK PER GAME POS,RED CARDS RANK PER GAME POS,50-22s RANK PER GAME POS,PERCENTILE,PROJ_PPG,EXPECTED_GMS,PROJ_TOTAL_EXPECTED_GMS,PROJ_TIER,CONSISTENCY_LABEL,PROJ RANK,PROJ POS RANK,PROJ PERCENTILE
1,FH #1,SACHA FEINBERG-MNGOMEZULU,"Looks like the hype was real! Sacha missed 6 of the first 8 rounds (although he still came in and put up 65 points in R3 and R4), but the level of dominance from then on was such that he ended up finishing 51 points clear of Zac Ward in 2nd place. With 40+ point scores in both Semi-Final legs, he was almost certainly worth the high draft pick this season, and most likely will be again next.",12,26.58,318.97,Fly Half,DHL Stormers,0,0,18.23,47.52,0,0,0,0,12.48,17.83,11.88,15.64,38.38,19.65,22.33,48.78,43.33,22.92,943,0.34,9,5,698,16,47,9,4,33,7,69,22,0,15,29,0,1,0,2,53,8,4,15,9,3,4,44,107,1,104,211,19,118,2,4,4,23,18,3,8,4,1,6,1,1,1,5,2,1,3,13,6,2,2,3,2,2,2,1,78.58,0.03,0.75,0.42,58.17,1.33,3.92,0.75,0.33,2.75,0.58,5.75,1.83,0,1.25,2.42,0,0.08,0,0.17,27,109,18,30,16,9,9,69,166,3,192,307,38,118,1,7,4,87,18,8,2,8,3,8,1,1,1,6,2,1,2,10,8,2,1,6,2,6,2,2,100,22.69,11.4,258.67,Elite,Very Consistent,1,FH #1,100
2,OB #1,ZAC WARD,"Only one other player amassed more fantasy points this season than Zac Ward - Ward also missed 6 games, spread throughout the season (one was due to a postponed fixture). He averaged over 22 points-per-game, which is incredible, and certainly passed the eye test with some of his highlights. Ward both made the most metres with ball in hand and beat the most defenders of any player in the URC this season, and he also put up over 40 points in the fantasy grand final.",12,22.33,267.96,Outside Back,Ulster Rugby,30.42,0,4.43,0,5.93,0,0,27.8,35.11,0,24.19,12.92,21.81,8.75,27.83,0,26.82,41.95,917,0.29,11,1,1013,20,53,4,6,19,6,52,18,0,0,0,0,0,0,0,64,16,2,138,1,2,1,149,47,23,139,308,53,118,36,59,4,151,18,35,20,4,1,30,1,2,1,44,6,15,7,14,12,1,4,8,2,20,5,12,76.42,0.02,0.92,0.08,84.42,1.67,4.42,0.33,0.5,1.58,0.5,4.33,1.5,0,0,0,0,0,0,0,43,154,9,228,3,4,6,207,83,37,232,454,74,118,36,59,4,151,18,35,23,37,6,51,3,3,6,62,10,24,25,27,30,1,4,8,2,20,5,12,100,20.62,11.2,230.94,Elite,Very Consistent,2,OB #1,100
3,FH #2,CHRIS SMITH,"Smith was briefly in contention for top fantasy scorer overall towards the end of the season, before SFM and Ward both ripped 60+ points over the last 2 rounds, and he was also the leading (real-life) points scorer in the URC thanks to his kicking game - which was helped by the Lions feeding him 70+ tries to convert. Smith only missed 2 fantasy rounds (including R8 where the rearranged Lions fixture was not fantasy eligible), and at 15 points-per-game, his consistency as a weekly starter underpins his high fantasy value.",16,15.01,240.23,Fly Half,Lions,0,2.47,9.21,9.79,12.46,19.16,16.15,0,8.4,14.11,18.29,17.59,33.61,29.87,12.84,21.82,1.66,12.8,1221,0.2,1,4,355,5,16,15,2,14,7,91,18,0,15,45,0,0,0,0,5,60,219,29,87,84,107,10,209,59,104,117,53,118,2,1,4,151,18,35,1,8,14,10,8,11,10,2,10,12,3,2,12,2,2,1,2,11,2,10,76.31,0.01,0.06,0.25,22.19,0.31,1,0.94,0.13,0.88,0.44,5.69,1.13,0,0.94,2.81,0,0,0,0,45,268,380,65,188,185,214,41,378,174,293,314,206,118,6,3,4,151,18,35,4,22,23,16,13,16,21,2,13,24,4,13,24,2,6,3,2,11,2,10,100,13.44,14.6,196.22,Premium,Very Consistent,12,FH #2,99
4,LF #1,FRANCKE HORN,"Only 2 rounds missed and almost 15 points-per-game for Francke Horn is awesome fantasy value, especially from the Loose Forward position. He wasn't even able to stat-pad by taking kicks. While he didn't lead the league in any notable stat category, that actually speaks to his all-round solid play. Horn became a must-start fantasy player towards the business end of the season - averaging almost 20 points-per-game over the last 10 rounds.",16,14.83,237.21,Loose Forward,Lions,0,7.94,10.72,6.19,8.62,3.77,9.65,0,17.85,25.58,15.29,8.41,17.77,15.41,31.46,23.47,21.56,13.52,1186,0.2,5,8,495,12,27,17,4,5,3,107,8,1,0,0,0,1,0,0,10,60,27,2,35,9,38,6,107,279,323,88,278,58,36,59,4,23,18,35,2,10,7,1,7,1,6,2,43,56,71,41,55,21,1,1,1,6,6,1,74.13,0.01,0.31,0.5,30.94,0.75,1.69,1.06,0.25,0.31,0.19,6.69,0.5,0.06,0,0,0,0.06,0,0,69,268,111,20,102,61,109,26,230,477,510,219,499,113,36,59,4,142,18,35,7,56,22,1,14,2,22,7,69,101,99,84,92,36,1,1,1,36,6,1,100,14.13,14.6,206.3,Elite,Very Consistent,6,LF #2,99
5,OB #2,IGNACIO MENDY,"Mendy's talent is clearly there, but he will have been a frustrating fantasy player this season, as a couple of spike weeks inflated his points-per-game and overall score. As an example, his week 3 total of 52.86 was the highest single-round score of any player this season, but he followed it up with a score of -2.90 and an average of just 4.22 points over the next 3 rounds, and scored only 4 tries the whole season. He's always a tempting choice in fantasy because of the scores he can put up, but he's a bit boom-or-bust.",13,16.05,208.68,Outside Back,Benetton Rugby,0,0,52.68,-2.9,7.07,8.49,26.52,20.93,1.61,16.5,2.19,0.39,35.92,0,0,26.27,13.01,0,977,0.21,4,2,887,21,49,9,1,28,5,46,18,0,0,0,0,0,0,0,44,49,49,78,2,1,3,44,323,3,187,347,53,118,36,59,4,151,18,35,14,12,17,14,2,1,2,14,51,2,19,21,12,1,4,8,2,20,5,12,75.15,0.02,0.31,0.15,68.23,1.62,3.77,0.69,0.08,2.15,0.38,3.54,1.38,0,0,0,0,0,0,0,54,154,111,150,5,6,11,83,443,9,342,537,113,118,36,59,4,151,18,35,29,37,41,36,4,5,8,30,79,6,42,46,36,1,4,8,2,20,5,12,99,16.6,12,199.2,Premium,Average,10,OB #2,99
6,CE #1,HENCO VAN WYK,"Van Wyk rose quickly up the standings over rounds 12 to 17, averaging 21 points-per-game over that span, before dropping a bit of a relative dud in the fantasy Grand Final. With 5 tries and a lot of line breaks in that 6-round late-season span, he definitely showed what he's capable of for next year.",15,13.76,206.39,Centre,Lions,4.93,21.24,7.1,7.94,14.45,0.21,0,0,0,9.56,3.87,22.69,12.34,14.91,30.18,29.95,21.84,5.18,1093,0.19,6,3,644,14,40,7,7,16,7,98,17,0,0,0,0,0,0,0,18,81,17,47,12,5,14,71,32,39,104,97,66,118,36,59,4,151,18,35,3,9,1,7,1,1,3,19,7,5,4,8,14,1,3,6,1,17,2,6,72.87,0.01,0.4,0.2,42.93,0.93,2.67,0.47,0.47,1.07,0.47,6.53,1.13,0,0,0,0,0,0,0,84,268,68,108,48,39,33,156,108,111,277,229,206,118,36,59,4,151,18,35,20,39,4,15,6,6,6,38,17,16,17,27,47,1,3,6,1,17,2,6,99,13.78,13.6,187.41,Premium,Consistent,14,CE #2,98
7,OB #3,QUAN HORN,"Having played the most minutes of anyone in the URC, Quan Horn offered significant fantasy value if you drafted him, despite finishing with a seemingly modest 11.80 points-per-game, and never reaching 25 points in any single round. His value lies in being able to ""set and forget"" him in your lineup, while he quietly generates a decent, if never exceptional, score. There's real peace of mind in that. He also upped his PPG to around 17 during the regular season run-in and the playoffs, and led the league with five 50-22s, which is fun.",17,11.8,200.67,Outside Back,Lions,3.66,15.14,3.16,12.1,17.16,11.71,12.21,0,10.39,8.64,3.73,-0.89,12.46,21.84,24.36,15.03,11.17,18.8,1360,0.15,4,7,766,5,41,19,1,11,4,44,15,0,0,0,0,1,0,5,1,163,49,4,4,84,12,2,323,88,249,361,92,118,36,59,4,23,18,1,1,44,17,1,4,50,8,1,51,41,30,25,23,1,4,8,2,3,5,1,80,0.01,0.24,0.41,45.06,0.29,2.41,1.12,0.06,0.65,0.24,2.59,0.88,0,0,0,0,0.06,0,0.29,1,268,172,33,42,197,44,22,475,264,474,619,321,118,36,59,4,142,18,5,1,60,50,7,32,89,28,9,82,93,69,70,76,1,4,8,2,18,5,4,99,12.2,15.2,185.44,Premium,Very Consistent,15,OB #4,98
8,CE #2,SEBASTIAN DE KLERK,"De Klerk makes the top 10 fantasy players this season, but it's kind of on a technicality. He went on an absolute tear over the first 7 rounds, averaging over 21 points-per-game (and over 27 PPG over R2 - R6), without those figures being inflated by massive spike weeks. He was easily the most valuable player in the first half of the season, but managed just one more score of any worth (29.98 in R12), before not featuring at all from then on due to a serious foot injury. If you managed to find a decent replacement, De Klerk supercharged your fantasy squad for the first few weeks, and deserves recognition for that.",10,19.12,191.24,Centre,Vodacom Bulls,5.49,25.44,21.41,33.23,23.38,33.16,10.32,0,1.31,7.52,0,29.98,0,0,0,0,0,0,748,0.26,3,7,600,12,36,12,4,10,3,53,11,0,0,0,0,0,0,0,141,26,81,4,15,9,19,18,107,114,323,301,171,118,36,59,4,151,18,35,26,3,9,1,2,2,4,4,18,18,28,36,33,1,3,6,1,17,2,6,74.8,0.03,0.3,0.7,60,1.2,3.6,1.2,0.4,1,0.3,5.3,1.1,0,0,0,0,0,0,0,61,109,115,10,11,12,14,18,133,116,416,350,217,118,36,59,4,151,18,35,14,14,16,2,2,2,3,6,23,17,41,43,48,1,3,6,1,17,2,6,99,16.57,13.3,220.38,Elite,Very Consistent,4,CE #1,100
9,SH #1,EMBROSE PAPIER,"Papier looked like he was going to carry some fantasy managers to a league title after averaging over 21 points-per-game over rounds 11 to 15, but ended up disappointing in the playoffs. He still finished as the top scoring scrum half in fantasy, and has a nice highlight reel - scoring the most tries, making the most metres, and beating the most defenders of anyone at the position, while also bagging a couple of 50-22s.",16,11.71,187.38,Scrum Half,Vodacom Bulls,6.02,1.98,0,0.33,17.24,17.75,10.78,0,6.83,0,23.26,18.97,18.03,33.71,13.65,7.73,1.83,9.27,907,0.21,9,5,449,8,28,12,7,11,2,56,16,0,0,0,0,0,0,2,65,49,4,15,44,36,35,18,32,88,405,275,76,118,36,59,4,151,18,3,3,5,1,5,1,3,1,2,2,6,15,8,6,1,3,7,2,11,2,1,56.69,0.01,0.56,0.31,28.06,0.5,1.75,0.75,0.44,0.69,0.13,3.5,1,0,0,0,0,0,0,0.13,277,268,31,57,136,101,102,69,117,231,564,538,234,118,36,59,4,151,18,15,12,22,3,16,4,6,2,2,5,17,31,19,23,1,3,7,2,11,2,4,99,10.21,14.6,149.07,Elite,Very Consistent,58,SH #1,92
10,OB #4,KYLE ROWE,"Kyle Rowe started the season with a strong score, underwhelmed for the next 10 rounds, before picking it up again during the run-in and playoffs. His score of 30.16 in the fantasy Grand Final will have made some managers very happy, and he also had some good highlights among his 6 tries. 16 players scored more tries than Rowe this season, and he didn't register a single assist, but he did finish within the top 5 in the URC in metres made, line breaks and defenders beaten.",13,14.38,186.91,Outside Back,Glasgow Warriors,21.1,5.25,0,1.26,8.93,6.29,0,0,0,7.78,11.71,32.52,19.3,0,22.03,4.83,15.75,30.16,952,0.2,6,0,732,15,47,3,1,18,6,62,13,0,0,0,0,0,0,0,50,60,17,267,5,4,4,199,323,29,139,247,133,118,36,59,4,151,18,35,15,15,7,59,5,3,3,51,51,18,7,8,26,1,4,8,2,20,5,12,73.23,0.02,0.46,0,56.31,1.15,3.62,0.23,0.08,1.38,0.46,4.77,1,0,0,0,0,0,0,0,80,154,53,267,19,16,13,290,443,62,278,407,234,118,36,59,4,151,18,35,36,37,26,59,16,12,9,75,79,38,31,19,57,1,4,8,2,20,5,12,99,13.76,12,165.12,Premium,Consistent,27,OB #7,97
